categoria_es,categoria_pl,palabra_es,palabra_pl
"Cosméticos","Kosmetyki","el perfume","perfumy"
"Cosméticos","Kosmetyki","la mascarilla","maseczka"
"Cosméticos","Kosmetyki","la exfoliación","peeling (zabieg)"
"Cosméticos","Kosmetyki","el exfoliante","peeling (produkt)"
"Cosméticos","Kosmetyki","la crema antiedad","krem przeciwzmarszczkowy"
"Cosméticos","Kosmetyki","el protector solar","krem z filtrem"
"Cosméticos","Kosmetyki","maquillarse","malować się"
"Cosméticos","Kosmetyki","desmaquillarse","zmywać makijaż"
"Cosméticos","Kosmetyki","aplicarse","nakładać (np. krem)"
"Cosméticos","Kosmetyki","difuminar","blendować / rozcierać"
"Cosméticos","Kosmetyki","el tono","odcień"
"Cosméticos","Kosmetyki","el cutis","cera"
"Cosméticos","Kosmetyki","la piel","skóra"
"Cosméticos","Kosmetyki","la ojera","cień pod okiem"
"Cosméticos","Kosmetyki","la arruga","zmarszczka"
"Cosméticos","Kosmetyki","el grano / el acné","krosta / trądzik"
"Cosméticos","Kosmetyki","la belleza","uroda"
"Cosméticos","Kosmetyki","el salón de belleza","salon kosmetyczny"
"Cosméticos","Kosmetyki","la estética","estetyka"
"Cosméticos","Kosmetyki","la manicura","manicure"
"Cosméticos","Kosmetyki","la pedicura","pedicure"
"Cosméticos","Kosmetyki","teñir","farbować"
"Cosméticos","Kosmetyki","el tinte","farba do włosów"
"Enfermedades","Choroby","la enfermedad","choroba"
"Enfermedades","Choroby","el resfriado","przeziębienie"
"Enfermedades","Choroby","la gripe","grypa"
"Enfermedades","Choroby","la fiebre","gorączka"
"Enfermedades","Choroby","la tos","kaszel"
"Enfermedades","Choroby","el dolor de cabeza","ból głowy"
"Enfermedades","Choroby","el dolor de garganta","ból gardła"
"Enfermedades","Choroby","el dolor de estómago","ból brzucha"
"Enfermedades","Choroby","la infección","infekcja"
"Enfermedades","Choroby","la inflamación","stan zapalny"
"Enfermedades","Choroby","el virus","wirus"
"Enfermedades","Choroby","la bacteria","bakteria"
"Enfermedades","Choroby","el asma","astma"
"Enfermedades","Choroby","la alergia","alergia"
"Enfermedades","Choroby","la diabetes","cukrzyca"
"Enfermedades","Choroby","el cáncer","rak (choroba)"
"Enfermedades","Choroby","el infarto","zawał"
"Enfermedades","Choroby","el derrame cerebral","udar mózgu"
"Enfermedades","Choroby","la neumonía","zapalenie płuc"
"Enfermedades","Choroby","la bronquitis","zapalenie oskrzeli"
"Enfermedades","Choroby","la artritis","artretyzm"
"Enfermedades","Choroby","el reumatismo","reumatyzm"
"Enfermedades","Choroby","la hipertensión","nadciśnienie"
"Enfermedades","Choroby","el colesterol","cholesterol"
"Enfermedades","Choroby","la obesidad","otyłość"
"Enfermedades","Choroby","el trastorno","zaburzenie"
"Enfermedades","Choroby","la depresión","depresja"
"Enfermedades","Choroby","la ansiedad","niepokój / stany lękowe"
"Enfermedades","Choroby","el estrés","stres"
"Enfermedades","Choroby","el insomnio","bezsenność"
"Enfermedades","Choroby","la migraña","migrena"
"Enfermedades","Choroby","la diarrea","biegunka"
"Enfermedades","Choroby","el vómito","wymioty"
"Enfermedades","Choroby","el mareo","zawroty głowy / choroba lokomocyjna"
"Enfermedades","Choroby","la náusea","mdłości"
"Enfermedades","Choroby","la fractura","złamanie"
"Enfermedades","Choroby","el esguince","skręcenie"
"Enfermedades","Choroby","la cicatriz","blizna"
"Enfermedades","Choroby","la herida","rana"
"Enfermedades","Choroby","el síntoma","objaw"
"Enfermedades","Choroby","el diagnóstico","diagnoza"
"Enfermedades","Choroby","contagiarse","zarazić się"
"Enfermedades","Choroby","el contagio","zarażenie"
"Enfermedades","Choroby","la epidemia","epidemia"
"Enfermedades","Choroby","la pandemia","pandemia"
"Enfermedades","Choroby","crónico","przewlekły"
"Enfermedades","Choroby","agudo","ostry (np. ból)"
"Enfermedades","Choroby","leve","lekki (np. przebieg)"
"Enfermedades","Choroby","grave","ciężki / poważny"
"Enfermedades","Choroby","incurable","nieuleczalny"
"Partes del Día","Pory dnia","el amanecer","świt"
"Partes del Día","Pory dnia","la madrugada","wczesny ranek"
"Partes del Día","Pory dnia","la mañana","poranek"
"Partes del Día","Pory dnia","el mediodía","południe"
"Partes del Día","Pory dnia","la tarde","popołudnie"
"Partes del Día","Pory dnia","el atardecer","późne popołudnie / zachód słońca"
"Partes del Día","Pory dnia","el anochecer","zmierzch"
"Partes del Día","Pory dnia","la noche","noc"
"Partes del Día","Pory dnia","la medianoche","północ"
"Partes del Día","Pory dnia","de madrugada","nad ranem"
"Partes del Día","Pory dnia","por la mañana","rano"
"Partes del Día","Pory dnia","al mediodía","w południe"
"Partes del Día","Pory dnia","por la tarde","po południu"
"Partes del Día","Pory dnia","por la noche","w nocy"
"Partes del Día","Pory dnia","el alba","brzask"
"Partes del Día","Pory dnia","la puesta de sol","zachód słońca"
"Partes del Día","Pory dnia","la salida del sol","wschód słońca"
"Partes del Día","Pory dnia","el crepúsculo","zmrok"
"Partes del Día","Pory dnia","la oscuridad","ciemność"
"Partes del Día","Pory dnia","la luz","światło"
"Partes del Día","Pory dnia","el día","dzień"
"Partes del Día","Pory dnia","la jornada","dzień pracy"
"Partes del Día","Pory dnia","el reloj","zegar"
"Partes del Día","Pory dnia","la hora","godzina"
"Partes del Día","Pory dnia","el minuto","minuta"
"Partes del Día","Pory dnia","el segundo","sekunda"
"Partes del Día","Pory dnia","el instante","chwila / moment"
"Partes del Día","Pory dnia","el rato","chwila (krótki czas)"
"Partes del Día","Pory dnia","temprano","wcześnie"
"Partes del Día","Pory dnia","tarde","późno"
"Partes del Día","Pory dnia","puntual","punktualny"
"Partes del Día","Pory dnia","el retraso","opóźnienie"
"Partes del Día","Pory dnia","a tiempo","na czas"
"Partes del Día","Pory dnia","la siesta","drzemka poobiednia"
"Partes del Día","Pory dnia","el desayuno","śniadanie (pora)"
"Partes del Día","Pory dnia","la comida","obiad (pora)"
"Partes del Día","Pory dnia","la cena","kolacja (pora)"
"Partes del Día","Pory dnia","despertarse","budzić się"
"Partes del Día","Pory dnia","levantarse","wstawać"
"Partes del Día","Pory dnia","acostarse","kłaść się spać"
"Partes del Día","Pory dnia","trasnochar","zarywać noc"
"Partes del Día","Pory dnia","madrugar","wstawać wcześnie rano"
"Partes del Día","Pory dnia","el turno de mañana","poranna zmiana"
"Partes del Día","Pory dnia","el turno de tarde","popołudniowa zmiana"
"Partes del Día","Pory dnia","el turno de noche","nocna zmiana"
"Partes del Día","Pory dnia","diario","codzienny"
"Partes del Día","Pory dnia","nocturno","nocny"
"Partes del Día","Pory dnia","matutino","poranny"
"Partes del Día","Pory dnia","vespertino","popołudniowy / wieczorny"
"Partes del Día","Pory dnia","24 horas / todo el día","całą dobę / cały dzień"
"Días de la Semana","Dni tygodnia","el día de la semana","dzień tygodnia"
"Días de la Semana","Dni tygodnia","el lunes","poniedziałek"
"Días de la Semana","Dni tygodnia","el martes","wtorek"
"Días de la Semana","Dni tygodnia","el miércoles","środa"
"Días de la Semana","Dni tygodnia","el jueves","czwartek"
"Días de la Semana","Dni tygodnia","el viernes","piątek"
"Días de la Semana","Dni tygodnia","el sábado","sobota"
"Días de la Semana","Dni tygodnia","el domingo","niedziela"
"Días de la Semana","Dni tygodnia","el fin de semana","weekend"
"Días de la Semana","Dni tygodnia","el día laborable / el día hábil","dzień roboczy"
"Días de la Semana","Dni tygodnia","el día festivo","dzień świąteczny"
"Días de la Semana","Dni tygodnia","el puente","długi weekend"
"Días de la Semana","Dni tygodnia","ayer","wczoraj"
"Días de la Semana","Dni tygodnia","hoy","dzisiaj"
"Días de la Semana","Dni tygodnia","mañana","jutro"
"Días de la Semana","Dni tygodnia","anteayer / antes de ayer","przedwczoraj"
"Días de la Semana","Dni tygodnia","pasado mañana","pojutrze"
"Días de la Semana","Dni tygodnia","el día anterior","poprzedni dzień"
"Días de la Semana","Dni tygodnia","el día siguiente","następny dzień"
"Días de la Semana","Dni tygodnia","todos los días","codziennie"
"Días de la Semana","Dni tygodnia","cada lunes","w każdy poniedziałek"
"Días de la Semana","Dni tygodnia","el próximo lunes","w przyszły poniedziałek"
"Días de la Semana","Dni tygodnia","el lunes pasado","w zeszły poniedziałek"
"Días de la Semana","Dni tygodnia","a mediados de semana","w środku tygodnia"
"Días de la Semana","Dni tygodnia","el calendario","kalendarz"
"Días de la Semana","Dni tygodnia","la semana","tydzień"
"Días de la Semana","Dni tygodnia","la semana que viene","przyszły tydzień"
"Días de la Semana","Dni tygodnia","la semana pasada","zeszły tydzień"
"Días de la Semana","Dni tygodnia","una quincena","dwa tygodnie"
"Días de la Semana","Dni tygodnia","semanal","tygodniowy"
"Días de la Semana","Dni tygodnia","el horario","harmonogram / plan lekcji"
"Días de la Semana","Dni tygodnia","la agenda","terminarz / kalendarz"
"Días de la Semana","Dni tygodnia","la fecha","data"
"Días de la Semana","Dni tygodnia","¿Qué día es hoy?","Jaki dziś dzień?"
"Días de la Semana","Dni tygodnia","trabajar","pracować"
"Días de la Semana","Dni tygodnia","descansar","odpoczywać"
"Días de la Semana","Dni tygodnia","la rutina","rutyna"
"Días de la Semana","Dni tygodnia","el festivo","święto"
"Días de la Semana","Dni tygodnia","de lunes a viernes","od poniedziałku do piątku"
"Días de la Semana","Dni tygodnia","entre semana","w dni robocze / w tygodniu"
"Días de la Semana","Dni tygodnia","el puente festivo","długi weekend świąteczny"
"Días de la Semana","Dni tygodnia","librar","mieć dzień wolny"
"Días de la Semana","Dni tygodnia","el día libre","dzień wolny"
"Días de la Semana","Dni tygodnia","semanalmente","co tydzień"
"Días de la Semana","Dni tygodnia","el inicio de semana","początek tygodnia"
"Días de la Semana","Dni tygodnia","el fin de mes","koniec miesiąca"
"Días de la Semana","Dni tygodnia","la jornada laboral","dzień pracy"
"Días de la Semana","Dni tygodnia","bisemanal","dwutygodniowy"
"Días de la Semana","Dni tygodnia","cada semana","każdego tygodnia"
"Días de la Semana","Dni tygodnia","diariamente","codziennie"
"Meses del Año","Miesiące","el mes","miesiąc"
"Meses del Año","Miesiące","enero","styczeń"
"Meses del Año","Miesiące","febrero","luty"
"Meses del Año","Miesiące","marzo","marzec"
"Meses del Año","Miesiące","abril","kwiecień"
"Meses del Año","Miesiące","mayo","maj"
"Meses del Año","Miesiące","junio","czerwiec"
"Meses del Año","Miesiące","julio","lipiec"
"Meses del Año","Miesiące","agosto","sierpień"
"Meses del Año","Miesiące","septiembre","wrzesień"
"Meses del Año","Miesiące","octubre","październik"
"Meses del Año","Miesiące","noviembre","listopad"
"Meses del Año","Miesiące","diciembre","grudzień"
"Meses del Año","Miesiące","el año","rok"
"Meses del Año","Miesiące","el año bisiesto","rok przestępny"
"Meses del Año","Miesiące","a principios de","na początku"
"Meses del Año","Miesiące","a mediados de","w połowie"
"Meses del Año","Miesiące","a finales de","pod koniec"
"Meses del Año","Miesiące","el próximo mes","w przyszłym miesiącu"
"Meses del Año","Miesiące","el mes pasado","w zeszłym miesiącu"
"Meses del Año","Miesiące","mensual","miesięczny"
"Meses del Año","Miesiące","mensualmente","co miesiąc"
"Meses del Año","Miesiące","el trimestre","kwartał"
"Meses del Año","Miesiące","el semestre","półrocze"
"Meses del Año","Miesiące","la temporada","sezon"
"Meses del Año","Miesiące","el aniversario","rocznica"
"Meses del Año","Miesiące","anual","roczny"
"Meses del Año","Miesiące","anualmente","corocznie"
"Meses del Año","Miesiące","el año que viene","w przyszłym roku"
"Meses del Año","Miesiące","el año pasado","w zeszłym roku"
"Meses del Año","Miesiące","la década","dekada"
"Meses del Año","Miesiące","el siglo","wiek / stulecie"
"Meses del Año","Miesiące","el milenio","tysiąclecie"
"Meses del Año","Miesiące","el calendario","kalendarz"
"Meses del Año","Miesiące","bimensual","dwumiesięczny"
"Meses del Año","Miesiące","trimestral","kwartalny"
"Meses del Año","Miesiące","semestral","półroczny"
"Meses del Año","Miesiące","el fin de año","koniec roku / sylwester"
"Meses del Año","Miesiące","el comienzo de año","początek roku"
"Meses del Año","Miesiące","la fecha de nacimiento","data urodzenia"
"Meses del Año","Miesiące","caducar","wygasać / tracić ważność"
"Meses del Año","Miesiące","la fecha de caducidad","data ważności"
"Meses del Año","Miesiące","enero cuesta arriba","styczniowa bieda / ciężki styczeń"
"Meses del Año","Miesiące","en enero","w styczniu"
"Meses del Año","Miesiące","desde febrero","od lutego"
"Meses del Año","Miesiące","hasta marzo","do marca"
"Meses del Año","Miesiące","cada mes","każdego miesiąca"
"Meses del Año","Miesiące","un par de meses","kilka miesięcy"
"Meses del Año","Miesiące","hace un mes","miesiąc temu"
"Meses del Año","Miesiące","dentro de un mes","za miesiąc"
"Las Estaciones","Pory roku","la estación","pora roku"
"Las Estaciones","Pory roku","la primavera","wiosna"
"Las Estaciones","Pory roku","el verano","lato"
"Las Estaciones","Pory roku","el otoño","jesień"
"Las Estaciones","Pory roku","el invierno","zima"
"Las Estaciones","Pory roku","primaveral","wiosenny"
"Las Estaciones","Pory roku","veraniego","letni"
"Las Estaciones","Pory roku","otoñal","jesienny"
"Las Estaciones","Pory roku","invernal","zimowy"
"Las Estaciones","Pory roku","la temporada alta","wysoki sezon"
"Las Estaciones","Pory roku","la temporada baja","niski sezon"
"Las Estaciones","Pory roku","el clima","klimat"
"Las Estaciones","Pory roku","el tiempo","pogoda / czas"
"Las Estaciones","Pory roku","el cambio de estación","zmiana pory roku"
"Las Estaciones","Pory roku","las vacaciones de verano","wakacje letnie"
"Las Estaciones","Pory roku","las vacaciones de invierno","ferie zimowe"
"Las Estaciones","Pory roku","la temperatura","temperatura"
"Las Estaciones","Pory roku","el calor","upał"
"Las Estaciones","Pory roku","el frío","zimno"
"Las Estaciones","Pory roku","la nieve","śnieg"
"Las Estaciones","Pory roku","la lluvia","deszcz"
"Las Estaciones","Pory roku","el viento","wiatr"
"Las Estaciones","Pory roku","el sol","słońce"
"Las Estaciones","Pory roku","florecer","kwitnąć"
"Las Estaciones","Pory roku","la flor","kwiat"
"Las Estaciones","Pory roku","la hoja","liść"
"Las Estaciones","Pory roku","caer las hojas","opadać (o liściach)"
"Las Estaciones","Pory roku","nevar","padać śnieg"
"Las Estaciones","Pory roku","llover","padać deszcz"
"Las Estaciones","Pory roku","helar","zamarzać / mrozić"
"Las Estaciones","Pory roku","el deshielo","odwilż"
"Las Estaciones","Pory roku","la ola de calor","fala upałów"
"Las Estaciones","Pory roku","la ola de frío","fala mrozów"
"Las Estaciones","Pory roku","el solsticio","przesilenie"
"Las Estaciones","Pory roku","el equinoccio","równonoc"
"Las Estaciones","Pory roku","al aire libre","na świeżym powietrzu"
"Las Estaciones","Pory roku","tomar el sol","opalać się"
"Las Estaciones","Pory roku","esquiar","jeździć na nartach"
"Las Estaciones","Pory roku","la cosecha","żniwa / zbiory"
"Las Estaciones","Pory roku","la vendimia","winobranie"
"Las Estaciones","Pory roku","el abrigo","płaszcz"
"Las Estaciones","Pory roku","el traje de baño","strój kąpielowy"
"Las Estaciones","Pory roku","las gafas de sol","okulary przeciwsłoneczne"
"Las Estaciones","Pory roku","la bufanda","szalik"
"Las Estaciones","Pory roku","el paraguas","parasol"
"Las Estaciones","Pory roku","broncearse","opalać się (pokryć brązem)"
"Las Estaciones","Pory roku","tiritar","trząść się z zimna"
"Las Estaciones","Pory roku","sudar","pocić się"
"Las Estaciones","Pory roku","refrescar","ochładzać się / odświeżać"
"Las Estaciones","Pory roku","el clima tropical","klimat tropikalny"
"Adverbios de Tiempo","Przysłówki czasu","ahora","teraz"
"Adverbios de Tiempo","Przysłówki czasu","antes","wcześniej / przedtem"
"Adverbios de Tiempo","Przysłówki czasu","después","potem / później"
"Adverbios de Tiempo","Przysłówki czasu","luego","następnie / później"
"Adverbios de Tiempo","Przysłówki czasu","hoy","dzisiaj"
"Adverbios de Tiempo","Przysłówki czasu","mañana","jutro"
"Adverbios de Tiempo","Przysłówki czasu","ayer","wczoraj"
"Adverbios de Tiempo","Przysłówki czasu","pronto","wkrótce / niedługo"
"Adverbios de Tiempo","Przysłówki czasu","tarde","późno"
"Adverbios de Tiempo","Przysłówki czasu","temprano","wcześnie"
"Adverbios de Tiempo","Przysłówki czasu","siempre","zawsze"
"Adverbios de Tiempo","Przysłówki czasu","nunca","nigdy"
"Adverbios de Tiempo","Przysłówki czasu","jamás","nigdy w życiu"
"Adverbios de Tiempo","Przysłówki czasu","a veces","czasami"
"Adverbios de Tiempo","Przysłówki czasu","ya","już"
"Adverbios de Tiempo","Przysłówki czasu","todavía","jeszcze (ciągle)"
"Adverbios de Tiempo","Przysłówki czasu","aún","jeszcze / mimo to"
"Adverbios de Tiempo","Przysłówki czasu","enseguida","natychmiast / zaraz"
"Adverbios de Tiempo","Przysłówki czasu","inmediatamente","natychmiast"
"Adverbios de Tiempo","Przysłówki czasu","mientras","podczas gdy / dopóki"
"Adverbios de Tiempo","Przysłówki czasu","mientras tanto","w międzyczasie"
"Adverbios de Tiempo","Przysłówki czasu","de repente","nagle"
"Adverbios de Tiempo","Przysłówki czasu","de pronto","nagle (nieoczekiwanie)"
"Adverbios de Tiempo","Przysłówki czasu","frecuentemente","często"
"Adverbios de Tiempo","Przysłówki czasu","a menudo","często (gęsto)"
"Adverbios de Tiempo","Przysłówki czasu","raramente","rzadko"
"Adverbios de Tiempo","Przysłówki czasu","rara vez","rzadka (bardzo rzadko)"
"Adverbios de Tiempo","Przysłówki czasu","de vez en cuando","od czasu do czasu"
"Adverbios de Tiempo","Przysłówki czasu","recientemente","ostatnio (niedawno)"
"Adverbios de Tiempo","Przysłówki czasu","últimamente","ostatnio (w ostatnim czasie)"
"Adverbios de Tiempo","Przysłówki czasu","actualmente","obecnie"
"Adverbios de Tiempo","Przysłówki czasu","constantemente","stale / ciągle"
"Adverbios de Tiempo","Przysłówki czasu","en este momento","w tym momencie"
"Adverbios de Tiempo","Przysłówki czasu","al instante","w tej chwili"
"Adverbios de Tiempo","Przysłówki czasu","a tiempo","na czas"
"Adverbios de Tiempo","Przysłówki czasu","con tiempo","z wyprzedzeniem"
"Adverbios de Tiempo","Przysłówki czasu","tarde o temprano","prędzej czy później"
"Adverbios de Tiempo","Przysłówki czasu","antes de ayer","przedwczoraj"
"Adverbios de Tiempo","Przysłówki czasu","de día","w dzień"
"Adverbios de Tiempo","Przysłówki czasu","de noche","w nocy"
"Adverbios de Tiempo","Przysłówki czasu","al principio","na początku"
"Adverbios de Tiempo","Przysłówki czasu","al final","na końcu"
"Adverbios de Tiempo","Przysłówki czasu","finalmente","w końcu / ostatecznie"
"Adverbios de Tiempo","Przysłówki czasu","previamente","poprzednio / wcześniej"
"Adverbios de Tiempo","Przysłówki czasu","cotidianamente","codziennie"
"Adverbios de Tiempo","Przysłówki czasu","apenas","ledwie / dopiero co"
"Adverbios de Tiempo","Przysłówki czasu","recién","dopiero co (Ameryka Łac.)"
"Adverbios de Tiempo","Przysłówki czasu","jamás de los jamases","nigdy przenigdy"
"Adverbios de Tiempo","Przysłówki czasu","en un rato","za chwilę"
"Adverbios de Tiempo","Przysłówki czasu","hace poco","niedawno"
"Adverbios de Lugar","Przysłówki miejsca","aquí","tutaj"
"Adverbios de Lugar","Przysłówki miejsca","ahí","tam (blisko)"
"Adverbios de Lugar","Przysłówki miejsca","allí","tam (daleko)"
"Adverbios de Lugar","Przysłówki miejsca","allá","tam (bardzo daleko/ogólnie)"
"Adverbios de Lugar","Przysłówki miejsca","acá","tutaj (Ameryka Łac. / w tym kierunku)"
"Adverbios de Lugar","Przysłówki miejsca","cerca","blisko"
"Adverbios de Lugar","Przysłówki miejsca","lejos","daleko"
"Adverbios de Lugar","Przysłówki miejsca","arriba","w górze / na górze"
"Adverbios de Lugar","Przysłówki miejsca","abajo","w dole / na dole"
"Adverbios de Lugar","Przysłówki miejsca","delante","z przodu / przed"
"Adverbios de Lugar","Przysłówki miejsca","detrás","z tyłu / za"
"Adverbios de Lugar","Przysłówki miejsca","encima","na (powierzchni) / nad"
"Adverbios de Lugar","Przysłówki miejsca","debajo","pod / pod spodem"
"Adverbios de Lugar","Przysłówki miejsca","dentro","w środku / wewnątrz"
"Adverbios de Lugar","Przysłówki miejsca","fuera","na zewnątrz"
"Adverbios de Lugar","Przysłówki miejsca","adentro","do środka / wewnątrz"
"Adverbios de Lugar","Przysłówki miejsca","afuera","na zewnątrz / dwór"
"Adverbios de Lugar","Przysłówki miejsca","alrededor","dookoła / wokół"
"Adverbios de Lugar","Przysłówki miejsca","junto","razem / obok"
"Adverbios de Lugar","Przysłówki miejsca","al lado","obok"
"Adverbios de Lugar","Przysłówki miejsca","enfrente","naprzeciwko"
"Adverbios de Lugar","Przysłówki miejsca","atrás","w tył / z tyłu"
"Adverbios de Lugar","Przysłówki miejsca","adelante","naprzód / z przodu"
"Adverbios de Lugar","Przysłówki miejsca","donde","gdzie"
"Adverbios de Lugar","Przysłówki miejsca","adonde","dokąd"
"Adverbios de Lugar","Przysłówki miejsca","por donde","tędy / którędy"
"Adverbios de Lugar","Przysłówki miejsca","hacia acá","w tę stronę"
"Adverbios de Lugar","Przysłówki miejsca","hacia allá","w tamtą stronę"
"Adverbios de Lugar","Przysłówki miejsca","en cualquier lugar / en cualquier sitio","gdziekolwiek"
"Adverbios de Lugar","Przysłówki miejsca","en ningún lugar / en ningún sitio","nigdzie"
"Adverbios de Lugar","Przysłówki miejsca","en todas partes","wszędzie"
"Adverbios de Lugar","Przysłówki miejsca","en otra parte","gdzie indziej"
"Adverbios de Lugar","Przysłówki miejsca","en alguna parte","gdzieś"
"Adverbios de Lugar","Przysłówki miejsca","más allá","dalej / poza"
"Adverbios de Lugar","Przysłówki miejsca","a la derecha","na prawo / po prawej"
"Adverbios de Lugar","Przysłówki miejsca","a la izquierda","na lewo / po lewej"
"Adverbios de Lugar","Przysłówki miejsca","recto / derecho","prosto"
"Adverbios de Lugar","Przysłówki miejsca","en medio","pośrodku"
"Adverbios de Lugar","Przysłówki miejsca","por aquí","tędy (blisko)"
"Adverbios de Lugar","Przysłówki miejsca","por allí","tamtędy (daleko)"
"Adverbios de Lugar","Przysłówki miejsca","en el fondo","w głębi / na dnie"
"Adverbios de Lugar","Przysłówki miejsca","a lo lejos","w dali"
"Adverbios de Lugar","Przysłówki miejsca","en lo alto","na wysokości / na szczycie"
"Adverbios de Lugar","Przysłówki miejsca","boca arriba","na plecach (twarzą do góry)"
"Adverbios de Lugar","Przysłówki miejsca","boca abajo","na brzuchu (twarzą w dół)"
"Adverbios de Lugar","Przysłówki miejsca","por doquier","wszędzie (lit.)"
"Adverbios de Lugar","Przysłówki miejsca","intramuros","w obrębie murów"
"Adverbios de Lugar","Przysłówki miejsca","extramuros","poza murami"
"Adverbios de Lugar","Przysłówki miejsca","en casa","w domu"
"Adverbios de Lugar","Przysłówki miejsca","fuera de casa","poza domem"
"Adverbios de Modo","Przysłówki sposobu","así","tak / w ten sposób"
"Adverbios de Modo","Przysłówki sposobu","bien","dobrze"
"Adverbios de Modo","Przysłówki sposobu","mal","źle"
"Adverbios de Modo","Przysłówki sposobu","mejor","lepiej"
"Adverbios de Modo","Przysłówki sposobu","peor","gorzej"
"Adverbios de Modo","Przysłówki sposobu","despacio","wolno / powoli"
"Adverbios de Modo","Przysłówki sposobu","rápido","szybko"
"Adverbios de Modo","Przysłówki sposobu","lentamente","powoli"
"Adverbios de Modo","Przysłówki sposobu","rápidamente","szybko"
"Adverbios de Modo","Przysłówki sposobu","fácilmente","łatwo"
"Adverbios de Modo","Przysłówki sposobu","difícilmente","z trudem / trudno"
"Adverbios de Modo","Przysłówki sposobu","felizmente","szczęśliwie"
"Adverbios de Modo","Przysłówki sposobu","tristemente","smutnie"
"Adverbios de Modo","Przysłówki sposobu","claramente","jasno / wyraźnie"
"Adverbios de Modo","Przysłówki sposobu","oscuro","ciemno"
"Adverbios de Modo","Przysłówki sposobu","suavemente","delikatnie / miękko"
"Adverbios de Modo","Przysłówki sposobu","fuertemente","mocno"
"Adverbios de Modo","Przysłówki sposobu","duro","ciężko / twardo"
"Adverbios de Modo","Przysłówki sposobu","aprisa","śpiesznie / prędko"
"Adverbios de Modo","Przysłówki sposobu","aposta / adrede","celowo / specjalnie"
"Adverbios de Modo","Przysłówki sposobu","sin querer","niechcący"
"Adverbios de Modo","Przysłówki sposobu","a propósito","celowo / przy okazji"
"Adverbios de Modo","Przysłówki sposobu","en voz alta","na głos"
"Adverbios de Modo","Przysłówki sposobu","en voz baja","szeptem / po cichu"
"Adverbios de Modo","Przysłówki sposobu","de memoria","na pamięć"
"Adverbios de Modo","Przysłówki sposobu","a ciegas","na oślep"
"Adverbios de Modo","Przysłówki sposobu","a escondidas","w ukryciu / potajemnie"
"Adverbios de Modo","Przysłówki sposobu","de repente / de golpe","nagle / jednym ruchem"
"Adverbios de Modo","Przysłówki sposobu","casi","prawie"
"Adverbios de Modo","Przysłówki sposobu","apenas","ledwie"
"Adverbios de Modo","Przysłówki sposobu","completamente","całkowicie"
"Adverbios de Modo","Przysłówki sposobu","parcialmente","częściowo"
"Adverbios de Modo","Przysłówki sposobu","totalmente","zupełnie / totalnie"
"Adverbios de Modo","Przysłówki sposobu","absolutamente","absolutnie"
"Adverbios de Modo","Przysłówki sposobu","exactamente","dokładnie"
"Adverbios de Modo","Przysłówki sposobu","justamente","właśnie / dokładnie"
"Adverbios de Modo","Przysłówki sposobu","estupendamente","wspaniale"
"Adverbios de Modo","Przysłówki sposobu","terriblemente","okropnie"
"Adverbios de Modo","Przysłówki sposobu","naturalmente","naturalnie"
"Adverbios de Modo","Przysłówki sposobu","seguramente","pewnie / na pewno"
"Adverbios de Modo","Przysłówki sposobu","probablemente","prawdopodobnie"
"Adverbios de Modo","Przysłówki sposobu","posiblemente","możliwe"
"Adverbios de Modo","Przysłówki sposobu","igual","tak samo / równo"
"Adverbios de Modo","Przysłówki sposobu","diferente / distinto","inaczej"
"Adverbios de Modo","Przysłówki sposobu","gratis","za darmo"
"Adverbios de Modo","Przysłówki sposobu","solo / solamente","tylko"
"Adverbios de Modo","Przysłówki sposobu","únicamente","wyłącznie"
"Adverbios de Modo","Przysłówki sposobu","exclusivamente","wyłącznie"
"Adverbios de Modo","Przysłówki sposobu","a medias","w połowie / niedokładnie"
"Adverbios de Modo","Przysłówki sposobu","de maravilla","cudownie / świetnie"
"Preposiciones","Przyimki","a","do / na / w (kierunek, czas)"
"Preposiciones","Przyimki","ante","wobec / przed (np. sądem)"
"Preposiciones","Przyimki","bajo","pod"
"Preposiciones","Przyimki","cabe","obok (archaiczne)"
"Preposiciones","Przyimki","con","z"
"Preposiciones","Przyimki","contra","przeciw / przeciwko"
"Preposiciones","Przyimki","de","z / od / o (kogoś/czegoś)"
"Preposiciones","Przyimki","desde","od (czas/miejsce)"
"Preposiciones","Przyimki","durante","podczas"
"Preposiciones","Przyimki","en","w / na"
"Preposiciones","Przyimki","entre","między / pomiędzy"
"Preposiciones","Przyimki","hacia","w kierunku / ku"
"Preposiciones","Przyimki","hasta","do / aż do"
"Preposiciones","Przyimki","mediante","za pomocą / poprzez"
"Preposiciones","Przyimki","para","dla / żeby"
"Preposiciones","Przyimki","por","przez / za / dla"
"Preposiciones","Przyimki","según","według / zgodnie z"
"Preposiciones","Przyimki","sin","bez"
"Preposiciones","Przyimki","so","pod (archaiczne)"
"Preposiciones","Przyimki","sobre","na / o (temat)"
"Preposiciones","Przyimki","tras","za / po"
"Preposiciones","Przyimki","versus","kontra / przeciwko"
"Preposiciones","Przyimki","vía","przez (trasę)"
"Preposiciones","Przyimki","acerca de","na temat / o"
"Preposiciones","Przyimki","además de","oprócz"
"Preposiciones","Przyimki","alrededor de","wokół"
"Preposiciones","Przyimki","antes de","przed (czas)"
"Preposiciones","Przyimki","a pesar de","pomimo"
"Preposiciones","Przyimki","cerca de","blisko"
